"users","sessions","adClicks","adCost","revenue"
0,343.501904761905,399,59.37,640.15
0,343.501904761905,379,59.15,297.57
0,343.501904761905,375,61.85,282.49
0,343.501904761905,408,62.16,921.29
1,1,382,60.92,1341.66
0,343.501904761905,405,59.22,508.45
0,343.501904761905,382,57.29,242.39
0,343.501904761905,390,58.35,193.81
0,343.501904761905,402,57.61,1250.64
0,343.501904761905,369,57.83,420.01
0,343.501904761905,363,57.13,464.96
0,343.501904761905,369,55.15,560.73
0,343.501904761905,382,61.42,523.79
0,343.501904761905,383,58.94,602.4
0,343.501904761905,382,58.61,1066.53
0,343.501904761905,397,59.65,831.69
0,343.501904761905,406,62.59,661.9
0,343.501904761905,399,61.86,505.91
0,343.501904761905,396,61.93,672.49
0,343.501904761905,384,60.74,577.21
0,343.501904761905,379,58.43,378.78
0,343.501904761905,377,58.21,201.81
0,343.501904761905,364,58.6,32.99
0,343.501904761905,391,62.16,223.95
0,343.501904761905,377,62.15,423.84
0,343.501904761905,399,64.92,452.37
0,343.501904761905,382,62.27,278.98
0,343.501904761905,348,56.74,939.11
0,343.501904761905,379,58.13,214.94
0,343.501904761905,381,57.79,190.92
0,343.501904761905,382,60.87,386.46
0,343.501904761905,385,60.66,256.92
0,343.501904761905,376,60.59,373.44
1,1,370,58.87,410.88
0,343.501904761905,348,56.06,570.78
0,343.501904761905,348,54.88,149.85
0,343.501904761905,359,56.26,397.89
0,343.501904761905,381,59.69,194.44
0,343.501904761905,385,59.3,295.23
1,1,371,58.2,367.59
0,343.501904761905,342,54.7,402.97
0,343.501904761905,335,49.74,510.91
0,343.501904761905,334,51.39,388.09
0,343.501904761905,386,60.95,1093.3
0,343.501904761905,387,62.93,309.06
0,343.501904761905,387,61.86,634.21
0,343.501904761905,383,62.28,576.52
1,1,392,61.83,427.74
0,343.501904761905,415,62.02,545.89
1,1,400,60.42,228.89
0,343.501904761905,378,61.18,522.18
1,1,388,63.89,965.06
1,4,392,61.34,1857.74
1,6,400,60.77,184.79
1,8,382,60.52,161.88
1,2,379,60.73,564.27
1,3,394,61.66,452.58
1,4,364,62.08,201.91
1,3,399,62.35,424
1,4,401,62.14,901.01
1,1,365,60.14,1269.04
1,6,383,59.79,776.36
1,2,379,59.88,472.92
1,2,399,59.89,821.72
1,3,401,59.71,318.6
1,7,380,59.65,96.97
1,3,393,59.71,71.98
5,9,383,59.75,197.88
3,5,357,59.65,223.94
3,6,387,59.95,319.83
3,3,373,59.26,546.19
3,3,384,58.96,1143.75
2,2,374,58.43,705.22
0,343.501904761905,416,67.12,926.83
2,2,416,66.3,676.17
1,1,383,64.48,90.98
6,6,391,62.88,1127.18
2,2,364,58.36,665.43
1,1,360,59.73,232.89
2,2,420,67.16,423.44
1,1,409,68.19,207.71
1,1,425,65.79,297.12
0,343.501904761905,396,64.05,474.51
0,343.501904761905,398,62.2,178.32
1,1,368,56.48,279.65
0,343.501904761905,377,59.18,109.95
