"","Series 1"
"1018",407.43
"1019",831.3
"1020",348.99
"1021",1208.84
"1022",598.96
"1023",750.94
"1024",298.91
"1025",2612.03
"1026",608.79
"1027",1285.64
"1028",1277.89
"1029",660.09
"1030",350.4
"1031",958.01
"1032",440.3
"1033",890.44
"1034",654.66
"1035",222.75
"1036",470.4
"1037",548.74
"1038",414.08
"1039",372.97
"1040",961.64
"1041",654.92
"1042",386.63
"1043",575.85
"1044",1205.3
"1045",916.68
"1046",724.52
"1047",518.49
"1048",755.21
"1049",394.57
"1050",908.38
"1051",47.68
"1052",259.02
"1053",473.86
"1054",522.26
"1055",572.01
"1056",1047.59
"1057",563.17
"1058",560.01
"1059",441.38
"1060",872.86
"1061",523.76
"1062",561.17
"1063",621.62
"1064",700
"1065",1030.56
"1066",530.66
"1067",192.03
"1068",409.5
"1069",977.93
"1070",1004.04
"1071",528.78
"1072",707.22
"1073",816.1
"1074",514.1
"1075",922.27
"1076",288.9
"1077",457.35
"1078",815.8
"1079",426.51
"1080",568.81
"1081",1381.2
"1082",907.88
"1083",1224.94
"1084",295.63
"1085",459.49
"1086",370.42
"1087",255.87
"1088",641.18
"1089",551.87
"1090",1279.51
"1091",866.02
"1092",1203.26
"1093",505.23
"1094",418.78
"1095",300.71
"1096",538.13
"1097",890.49
"1098",603.54
"1099",649.29
"1100",813.33
"1101",487.71
"1102",816.88
"1103",810.64
"1104",716.16
"1105",532.64
"1106",549.13
"1107",824.15
"1108",1001.93
"1109",966.25
"1110",1720.82
"1111",1190.32
"1112",421.77
"1113",769.59
"1114",682.07
"1115",894.63
"1116",1095.73
"1117",704.37
"1118",724.81
"1119",1130.52
"1120",701.55
"1121",656.41
"1122",558.69
"1123",351.24
"1124",645.04
"1125",870.15
"1126",411.35
"1127",567.89
"1128",477.91
"1129",726.23
"1130",422.1
"1131",388.1
"1132",1097.05
"1133",992.68
"1134",1076.08
"1135",457.84
"1136",652.48
"1137",719.85
"1138",478.32
"1139",662.45
"1140",617.84
"1141",625.39
"1142",742.14
"1143",747.11
"1144",699.58
"1145",571.7
"1146",1009.85
"1147",470.63
"1148",713.78
"1149",417.16
"1150",475.12
"1151",579.7
"1152",2083.26
"1153",266.49
"1154",1040.41
"1155",784.42
"1156",526.27
"1157",552.1
"1158",2457.39
"1159",604.36
"1160",496.96
"1161",483.36
"1162",1131.85
"1163",275.84
"1164",320
"1165",1271.28
"1166",712.61
"1167",416.83
"1168",977.27
"1169",969.41
"1170",362.81
"1171",393.78
"1172",955.93
"1173",945.52
"1174",734.2
"1175",546.32
"1176",299.52
"1177",504.76
"1178",399.01
"1179",642.79
"1180",232.59
"1181",601.17
"1182",490.66
"1183",1077.77
"1184",451.02
"1185",344.87
"1186",625.25
"1187",346.29
"1188",455.34
"1189",679.25
"1190",331.29
"1191",277.91
"1192",164.92
"1193",623.94
"1194",1878.64
"1195",565.42
"1196",325.57
"1197",661.26
"1198",394.11
"1199",541.93
"1200",673.18
"1201",543.8
"1202",589.91
"1203",736.52
"1204",592.66
"1205",917.33
"1206",156.95
"1207",526.28
"1208",854.84
"1209",929.22
"1210",792.79
"1211",783.83
"1212",517.51
"1213",579.05
"1214",936.46
"1215",726.36
"1216",911.47
"1217",735.83
"1218",679.68
"1219",746.31
"1220",275.17
"1221",662.84
"1222",662.93
"1223",1115.42
"1224",637.64
"1225",631.13
"1226",379.84
"1227",468.69
"1228",1074.49
"1229",411.63
"1230",425.03
"1231",487.44
"1232",475.15
"1233",398.9
"1234",761.03
"1235",268.96
"1236",756.4
"1237",852.69
"1238",709.04
"1239",369.39
"1240",374.68
"1241",713.57
"1242",828.03
"1243",743.36
"1244",956.63
"1245",833.72
"1246",879.9
"1247",502.84
"1248",292.4
"1249",578.98
"1250",626.82
"1251",348.65
"1252",851.35
"1253",722.45
"1254",638.79
"1255",488.62
"1256",594.48
"1257",672.55
"1258",792.47
"1259",493.55
"1260",695
"1261",298.22
"1262",612.32
"1263",445.26
"1264",962.25
"1265",731.11
"1266",1304.17
"1267",723.22
"1268",491.75
"1269",865.84
"1270",710.81
"1271",1277.5
"1272",786.59
"1273",589.65
"1274",576.34
"1275",435.99
"1276",570.74
"1277",306.29
"1278",1052.86
"1279",372.97
"1280",1189.63
"1281",632.65
"1282",595.34
"1283",780.65
"1284",1262.66
"1285",1144.31
"1286",637.61
"1287",752.78
"1288",921.13
"1289",465.22
"1290",1792.83
"1291",2571.72
"1292",850.14
"1293",720.32
"1294",1229.46
"1295",475.72
"1296",1158.77
"1297",694.37
"1298",594.04
"1299",668.14
"1300",427
"1301",1046.58
"1302",604.26
"1303",889.51
"1304",1002.08
"1305",740.83
"1306",803.93
"1307",192.49
"1308",373.85
"1309",1206.63
"1310",797.38
"1311",961.69
"1312",979.81
"1313",580.22
"1314",455.23
"1315",719.63
"1316",488.89
"1317",718.9
"1318",1580.34
"1319",910.71
"1320",458.07
"1321",619.8
"1322",421.47
"1323",715.33
"1324",399.19
"1325",388.03
"1326",332.76
"1327",824.67
"1328",677.5
"1329",2511.78
"1330",795.67
"1331",566.69
"1332",742.72
"1333",820.66
"1334",600.99
"1335",816.21
"1336",529.38
"1337",1065.59
"1338",479.97
"1339",367.29
"1340",498.23
"1341",594.95
"1342",1122.53
"1343",1345.57
"1344",597.88
"1345",510.49
"1346",779.38
"1347",634.66
"1348",574.22
"1349",1041.7
"1350",1241.02
"1351",982.57
"1352",447.46
"1353",763.08
"1354",260.12
"1355",1378.69
"1356",511.64
"1357",652.12
"1358",641.15
"1359",653.83
"1360",433.31
"1361",481.32
"1362",537.12
"1363",501.83
"1364",334.85
"1365",856.91
"1366",373.06
"1367",285.41
"1368",440.85
"1369",636.2
"1370",1377.68
"1371",657.78
"1372",536.91
"1373",612.51
"1374",214.73
"1375",1120.63
"1376",326.52
"1377",467.76
"1378",957.05
"1379",566.24
"1380",126.37
"1381",317.52
